trial_no,mse,r2,epochs,batch_size,lr,weight_decay,conv_channels,kernel_size,fc_units,num_blocks
74,0.3271673023700714,0.2797738313674927,12,85,0.0004210787277230092,2.2450401676453672e-07,68,5,84,4
75,0.30885565280914307,0.3200850486755371,14,65,0.0006804468276717511,1.3123190817497798e-07,72,5,103,4
76,0.3020334541797638,0.33510345220565796,16,99,0.0020590970053893484,3.2287081958453615e-07,64,5,94,3
77,0.3255635201931,0.2833043932914734,15,117,0.0019487631466042522,6.744113625680859e-07,189,5,94,4
78,0.32221803069114685,0.29066914319992065,14,99,0.0033035406616155226,3.0695464819214223e-07,177,5,88,4
79,0.3170255124568939,0.30209994316101074,15,62,0.006525509752694891,5.603412316899663e-07,70,5,80,4
80,0.32065120339393616,0.2941182851791382,16,53,0.0011446732986637978,3.796960166448644e-07,90,5,71,4
81,0.30742132663726807,0.3232426047325134,15,72,0.0016390799262139249,2.425103195267548e-07,65,5,108,3
82,0.29980048537254333,0.340019166469574,14,89,0.00223405552107561,1.6780115189072833e-07,66,5,92,3
83,0.3245672881603241,0.2854974865913391,16,109,0.002487919458439207,1.4298190384128824e-05,70,5,91,3
84,0.3318203091621399,0.26953065395355225,15,78,0.00471645075889071,1.645436216549772e-07,80,5,75,3
85,0.31949758529663086,0.296657919883728,16,103,0.0037761638544716184,5.541133327163502e-05,222,5,97,4
86,0.34046250581741333,0.2505057454109192,17,96,0.017214068631314958,1.0315939804374753e-06,156,5,79,3
87,0.31951722502708435,0.29661470651626587,14,89,0.002219754823114512,4.7247856934764403e-07,70,5,217,4
88,0.3092725872993469,0.31916725635528564,17,125,0.010310614141549506,6.99520947627693e-07,120,5,86,2
89,0.33069878816604614,0.2719995975494385,19,60,0.026051563536200917,3.0589242192378794e-07,67,5,101,4
90,0.3177739381790161,0.3004523515701294,18,70,0.00714974394713474,1.4676785403081972e-06,164,5,239,4
91,0.3118566870689392,0.31347858905792236,14,80,0.00044826380001293243,1.234464972372522e-07,64,5,83,3
92,0.3193006217479706,0.2970914840698242,12,51,0.00023376254824664886,1.8106660517446466e-07,75,5,93,3
93,0.31060320138931274,0.3162379860877991,14,88,0.001175183150211361,3.844982469787001e-07,66,5,97,3
94,0.3166153132915497,0.30300289392471313,16,117,0.00142518764660112,2.2495468542137553e-07,70,5,89,3
95,0.3095236122608185,0.3186146020889282,17,82,0.003025729766517448,1.009239775401434e-07,176,5,133,3
96,0.30901652574539185,0.31973087787628174,14,75,0.0007677224690136249,2.0044182636338046e-05,72,5,87,4
97,0.3047527074813843,0.3291172981262207,15,102,0.005591476451700843,3.2015792945235374e-07,104,5,199,4
98,0.3249568045139313,0.28463995456695557,16,55,0.005388491003158409,4.813368575323486e-07,108,5,197,4
99,0.3188602030277252,0.2980610728263855,17,102,0.012686694975222164,2.8602284113780697e-07,101,5,208,4
