gene_id,gene_name
ENSDARG00000045930,rbpms2a
ENSDARG00000029133,tubgcp3
ENSDARG00000078310,cecr2
ENSDARG00000089181,adad1
ENSDARG00000103672,cirbpa
ENSDARG00000018623,rad54l
ENSDARG00000098669,exd1
ENSDARG00000098360,cyp19a1b
ENSDARG00000005058,ncapd2
ENSDARG00000015072,dmrt2a
ENSDARG00000099801,topaz1
ENSDARG00000059653,kdm2aa
ENSDARG00000041724,glipr2
ENSDARG00000025043,trip13
ENSDARG00000039477,terb2
ENSDARG00000007990,wt1b
ENSDARG00000031420,wt1a
ENSDARG00000003293,sox9a
ENSDARG00000100940,nr5a2
ENSDARG00000103176,nr5a1a
ENSDARG00000098952,gata4
ENSDARG00000043923,sox9b
ENSDARG00000023362,nr5a1b
