Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
cdon,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
arl6ip1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
guca1a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
znf1011,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
mta2,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
si:cabz01054394.6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
epn3a,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cnstb,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pias4a,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
shank3b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rbm33b,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
sox4a,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ponzr5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mideasb,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ddx47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wdr46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-278p9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ywhaqb,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
spopla,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-7j22.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bmp10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abhd11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tns3.2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tmed7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cnot6a,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
azin1b,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
si:dkey-77f5.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rad23aa,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slc35a1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
moxd1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
nup133,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pdcd2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ncbp3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lrrc28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cybb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ndr2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mtrr,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
s100v1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fdps,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
epha2b,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
arpc4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
mob1a,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
spty2d1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ier2b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
larp6b,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
cox5ab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem218,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
afdna,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
hif1al,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
smad5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rab42b,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
uqcc3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
snip1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-189a21.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
plekho1b,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
igsf8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lrrfip1b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ddx20,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
foxf2b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppp6r2a,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
anks3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
polr2d,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aadacl4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
erlec1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
rab10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smim20,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
