,Gene name,Gene stable ID
517,FMNL1,ENSDARG00000055713
518,CROT,ENSDARG00000040352
519,GLS,ENSDARG00000040705
520,afp4,ENSDARG00000095863
521,ITGBL1,ENSDARG00000040985
522,TNNT2,ENSDARG00000020610
523,lrriq1,ENSDARG00000093781
524,si:dkey-220k22.1,ENSDARG00000035471
525,pimr104,ENSDARG00000116254
526,BIRC6,ENSDARG00000074166
527,si:dkey-177p2.18,ENSDARG00000091633
528,eppk1,ENSDARG00000096359
529,EEIG2,ENSDARG00000002333
530,CACNG8,ENSDARG00000070626
531,si:dkey-208m12.2,ENSDARG00000071143
532,smpd2b,ENSDARG00000052701
533,hcfc2,ENSDARG00000058127
534,SELENOK,ENSDARG00000100823
535,kcnc3a,ENSDARG00000055855
536,tmem100b,ENSDARG00000105665
537,nefmb,ENSDARG00000043697
538,ELFN2,ENSDARG00000077609
539,ccn4a,ENSDARG00000054331
540,CCDC24,ENSDARG00000038793
541,CCNY,ENSDARG00000063677
542,ntn2,ENSDARG00000076748
543,csmd2,ENSDARG00000001559
544,lft2,ENSDARG00000044059
545,UGP2,ENSDARG00000008200
546,pnocb,ENSDARG00000024189
547,epd,ENSDARG00000103498
548,C5H2orf68,ENSDARG00000059459
549,si:ch211-63o20.7,ENSDARG00000042000
550,MTMR10,ENSDARG00000010601
551,MYO15A,ENSDARG00000078474
552,dnmt3bb.3,ENSDARG00000057863
553,si:ch211-57k11.11,ENSDARG00000095894
554,DMTN,ENSDARG00000013110
555,lnc.290,ENSDARG00000097001
556,thrap3b,ENSDARG00000098228
557,si:ch73-177h5.4,ENSDARG00000059196
558,CUL3,ENSDARG00000038967
559,DIRAS1,ENSDARG00000009372
560,calm1a,ENSDARG00000021811
561,CNEP1R1,ENSDARG00000036064
562,RIN2,ENSDARG00000077040
563,rrp7a,ENSDARG00000098934
564,si:ch211-151e11.1,ENSDARG00000095851
565,pimr101,ENSDARG00000110915
566,tsr2,ENSDARG00000005772
567,DHCR7,ENSDARG00000103226
568,MAGI2,ENSDARG00000021590
569,cyp2k8,ENSDARG00000101190
570,lamb2l,ENSDARG00000033950
571,,ENSDARG00000097644
572,ZC3H12A,ENSDARG00000005271
573,si:ch211-125e6.13,ENSDARG00000094370
574,ccr11.1,ENSDARG00000070755
575,MC3R,ENSDARG00000021369
576,si:dkey-8o9.1p,ENSDARG00000100590
577,DFFB,ENSDARG00000009748
578,NRP2,ENSDARG00000096546
579,pimr71,ENSDARG00000044264
580,RHCE,ENSDARG00000002194
581,LSM10,ENSDARG00000101222
582,zgc:172120,ENSDARG00000069199
583,cdc42l2,ENSDARG00000057869
584,zgc:175136,ENSDARG00000103024
585,INTS3,ENSDARG00000016811
586,ATP6V1H,ENSDARG00000006370
587,SLC16A12,ENSDARG00000089885
588,hbl1,ENSDARG00000068221
589,sh3kbp1,ENSDARG00000075853
590,si:ch211-207l22.2,ENSDARG00000092299
591,si:ch73-56d11.5,ENSDARG00000093546
592,KMT2C,ENSDARG00000075560
593,lnc.192,ENSDARG00000098744
594,si:ch211-222e20.5,ENSDARG00000094958
595,rhbdd2,ENSDARG00000092463
596,SLC25A11,ENSDARG00000035741
597,jac6,ENSDARG00000076530
598,JUP,ENSDARG00000070787
599,uox,ENSDARG00000007024
600,ARL5B,ENSDARG00000094709
601,syngap1b,ENSDARG00000069765
602,flt3,ENSDARG00000058503
603,ATP9B,ENSDARG00000062521
604,prkg1a,ENSDARG00000020656
605,MXRA5,ENSDARG00000074815
606,cntnap3,ENSDARG00000067824
607,nrip1b,ENSDARG00000068894
608,SLC17A7,ENSDARG00000090106
609,cdca9,ENSDARG00000088639
610,bbs10,ENSDARG00000069515
611,casp8ap2,ENSDARG00000022718
612,si:ch73-112j3.1,ENSDARG00000105292
613,PSME2,ENSDARG00000033144
614,BRPF3,ENSDARG00000070513
615,trim35-28,ENSDARG00000021021
616,znfl1h,ENSDARG00000077877
617,si:dkey-14o18.2,ENSDARG00000062995
618,OLFM1,ENSDARG00000014053
619,GRIN2C,ENSDARG00000077560
620,smim15,ENSDARG00000086699
621,sh3d21,ENSDARG00000099448
622,NECTIN1,ENSDARG00000086034
623,MRPL40,ENSDARG00000043554
624,USP43,ENSDARG00000103494
625,si:dkey-8o9.3p,ENSDARG00000099174
626,si:ch211-39i2.2,ENSDARG00000104472
627,PLEKHO1,ENSDARG00000061191
628,TMEM9B,ENSDARG00000025693
629,tenm2b,ENSDARG00000090676
630,pros1,ENSDARG00000068261
631,GNAI2,ENSDARG00000017294
632,VIPR2,ENSDARG00000012353
633,MAP2K1,ENSDARG00000007825
634,cycsa,ENSDARG00000095636
635,FMNL2,ENSDARG00000012586
636,EHBP1,ENSDARG00000043643
637,COX10,ENSDARG00000034309
638,MCOLN1,ENSDARG00000002285
639,si:ch73-187p21.1,ENSDARG00000103358
640,PWP1,ENSDARG00000015921
641,ugt2a7,ENSDARG00000091624
642,si:ch73-138e16.4,ENSDARG00000102363
643,si:dkey-65l23.1,ENSDARG00000094538
644,MEAK7,ENSDARG00000062951
645,si:ch73-350k19.1,ENSDARG00000103224
646,GAS6,ENSDARG00000007804
647,slc7a1a,ENSDARG00000016439
648,bco1l,ENSDARG00000103659
649,si:ch211-168h21.2,ENSDARG00000103245
650,MIEF1,ENSDARG00000060991
651,si:ch211-205p4.2,ENSDARG00000105505
652,stk17b,ENSDARG00000014348
653,MRPS10,ENSDARG00000045913
654,HGD,ENSDARG00000058005
655,GRIK4,ENSDARG00000026753
656,smarca1,ENSDARG00000012776
657,SORBS2,ENSDARG00000061603
658,zgc:172053,ENSDARG00000038321
659,CMC2,ENSDARG00000043635
660,CKMT1B,ENSDARG00000016598
661,si:ch211-268b10.2,ENSDARG00000097499
662,shoc1,ENSDARG00000101067
663,DENND6B,ENSDARG00000011605
664,VWA2,ENSDARG00000075441
665,GMPPB,ENSDARG00000017658
666,GCC1,ENSDARG00000045541
667,GAL3ST1,ENSDARG00000078245
668,zgc:113363,ENSDARG00000101206
669,si:ch211-122f10.7,ENSDARG00000105771
670,si:dkeyp-73g8.5,ENSDARG00000094442
671,or11.17,ENSDARG00000087254
672,tagln3a,ENSDARG00000079805
673,mfap4.8,ENSDARG00000093877
674,WASL,ENSDARG00000006283
675,si:dkey-242h9.4,ENSDARG00000094232
676,zgc:198329,ENSDARG00000076981
677,TGS1,ENSDARG00000107511
678,si:ch211-69o18.1,ENSDARG00000094302
679,CNGA3,ENSDARG00000012297
680,camk2d1,ENSDARG00000043010
681,SERPINB1,ENSDARG00000055416
682,l1cama,ENSDARG00000007149
683,ftr92,ENSDARG00000095825
684,KAT6B,ENSDARG00000055429
685,POLB,ENSDARG00000003749
686,zgc:123107,ENSDARG00000101675
687,BTF3L4,ENSDARG00000089681
688,FAM222B,ENSDARG00000078578
689,paxx,ENSDARG00000078807
690,mmadhca,ENSDARG00000041602
691,si:ch73-173p19.2,ENSDARG00000103971
