Unnamed: 0,Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16,ensembl_id
126,dcaf13,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSDARG00000002267
127,ndufs8b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000057055
128,isg20l2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102266
129,pxdn,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000098733
130,cdk2ap1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,ENSDARG00000115248
131,cmtr1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000030830
132,parp6b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000070473
133,wnt10a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000017155
134,wwox,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000007614
135,glis1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000068580
136,kxd1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000051934
137,scarb2c,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ENSDARG00000089844
138,enc3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000058322
139,snx33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000014954
140,foxl2l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000008010
141,csnk2a2b,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000013582
142,nyap2b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000093357
143,slc30a4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000007180
144,si:ch211-207c6.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000095304
145,optn,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000002663
146,camk1db,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000017446
147,fam169aa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000059719
148,zmp:0000001316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
149,neurod1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000019566
150,gabra1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000068989
151,lin9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000028475
152,zgc:171727,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000105781
153,grpel1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000010021
154,cdon,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000061328
155,arl6ip1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000054578
156,guca1a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000100747
157,znf1011,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000087249
158,mta2,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000013031
159,si:cabz01054394.6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000098324
160,epn3a,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000078953
161,cnstb,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000042759
162,pias4a,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000007081
