Gene	Pred	Actual
b'ENSDARG00000013307'	b'0.059419647'	b'4.250609462923848'
b'ENSDARG00000013393'	b'0.059419647'	b'-1.091598717576009'
b'ENSDARG00000013539'	b'0.059419647'	b'-0.5721637238951529'
b'ENSDARG00000013613'	b'0.059419647'	b'-0.1078068972974752'
b'ENSDARG00000013705'	b'0.059419647'	b'0.4619599328090639'
b'ENSDARG00000013729'	b'0.059419647'	b'2.1792107910949348'
b'ENSDARG00000013763'	b'0.059419647'	b'1.32631194637341'
b'ENSDARG00000013787'	b'0.059419647'	b'-0.4038060988864418'
b'ENSDARG00000013845'	b'0.059419647'	b'1.0255709949519638'
b'ENSDARG00000013881'	b'0.059419647'	b'0.4063003636179482'
b'ENSDARG00000013892'	b'0.059419647'	b'-0.0086162456589694'
b'ENSDARG00000013931'	b'0.059419647'	b'2.30994444823928'
b'ENSDARG00000013933'	b'0.059419647'	b'-0.6692087178574664'
b'ENSDARG00000013938'	b'0.059419647'	b'1.5221637995763544'
b'ENSDARG00000013968'	b'0.059419647'	b'2.3535244957844768'
b'ENSDARG00000013976'	b'0.059419647'	b'0.8391012354074653'
b'ENSDARG00000014041'	b'0.059419647'	b'1.350478753172686'
b'ENSDARG00000014159'	b'0.059419647'	b'1.6982993711752217'
b'ENSDARG00000014215'	b'0.059419647'	b'-1.049364287133339'
b'ENSDARG00000014302'	b'0.059419647'	b'-1.059138589230839'
b'ENSDARG00000014420'	b'0.059419647'	b'2.160600990483553'
b'ENSDARG00000014462'	b'0.059419647'	b'0.0988259561374479'
b'ENSDARG00000014599'	b'0.059419647'	b'-0.4158418740252192'
b'ENSDARG00000014634'	b'0.059419647'	b'0.7264121677449714'
b'ENSDARG00000014685'	b'0.059419647'	b'1.6497695300978927'
b'ENSDARG00000014704'	b'0.059419647'	b'-0.4284591303298395'
b'ENSDARG00000014731'	b'0.059419647'	b'1.3558248494318026'
b'ENSDARG00000014761'	b'0.059419647'	b'-0.2965177836827917'
b'ENSDARG00000014803'	b'0.059419647'	b'-0.3649191369439596'
b'ENSDARG00000014963'	b'0.059419647'	b'1.0964864235100604'
b'ENSDARG00000015002'	b'0.059419647'	b'-1.0577983210495272'
b'ENSDARG00000015010'	b'0.059419647'	b'-0.219356358929273'
b'ENSDARG00000015065'	b'0.059419647'	b'-1.04257349058616'
b'ENSDARG00000015153'	b'0.059419647'	b'0.1010512243435445'
b'ENSDARG00000015161'	b'0.059419647'	b'1.5613025533316551'
b'ENSDARG00000015208'	b'0.059419647'	b'1.557459145050262'
b'ENSDARG00000015221'	b'0.059419647'	b'0.9946975270563734'
b'ENSDARG00000015252'	b'0.059419647'	b'-0.6104635747835819'
