Gene ID,Median RPKM,Mean RPKM,Sample variance RPKM,Difference RPKM,Median log RPKM,Mean log RPKM,Sample variance log RPKM,Difference log RPKM
ENSDARG00000009020,0.017479036477568,0.20940319674419292,0.30572695981345954,2.8150666592149856,-0.9300396240677884,-0.7610145621226103,0.13766964949488092,1.4646484902779608
ENSDARG00000009021,0.0558744275404323,0.5771253425445183,1.303481614147414,4.559474496998261,-0.8072251284868598,-0.5196050807270363,0.2421949426106705,1.6683369390241038
ENSDARG00000009023,0.3221163463835568,0.5547069739203604,1.0924078890155302,6.013135817230987,-0.3745678295401679,-0.37700260565687543,0.12183362839366814,1.6876557481251107
ENSDARG00000009046,0.0821397269362556,0.45063580493391486,0.9633829780720033,5.304340400520712,-0.7395953188536548,-0.5609277983651899,0.20280933882367191,1.73274269590364
ENSDARG00000009074,1.018196539829343,1.1170423323306682,0.5373538030724819,3.100765500746337,0.0485181440348454,-0.0023746431959019137,0.09309406469163731,1.5052538573798633
ENSDARG00000009087,30.918713833250987,50.06531837263739,6619.557234617089,421.64799817087095,1.4916237861693276,1.257537416946455,0.62374991268314,3.5972127244757868
ENSDARG00000009094,0.0214590730695327,0.09453652097191376,0.03564296984040613,0.9770183365909364,-0.9155700375747524,-0.8081720897901904,0.0636908330540308,1.0322230973671271
ENSDARG00000009106,10.2961925345353,17.059593230624102,316.93260139577467,64.04489929064285,1.016874313914005,1.0351888162427123,0.17765072439511864,1.5008757769262935
ENSDARG00000009113,1.073851808844137,2.1235189168035293,5.863515449566453,10.11339675109057,0.0696132735184826,0.13913284644838414,0.1819825583758344,1.6923421362042244
ENSDARG00000009123,1.4500058408017604,3.6939070792546618,21.55599219921449,15.655408605442757,0.1903333347013851,0.20884094039613646,0.38649667797991427,2.1974296707780576
ENSDARG00000009133,0.2262914926577992,0.6109545436990574,0.910634616358464,3.607227188601417,-0.4863942493501531,-0.4493003193854359,0.24526668815150224,1.5619155423856665
ENSDARG00000009134,0.5977660716376298,1.116502373018515,2.2179596363783034,6.591134383645965,-0.1562901516244921,-0.1924012783141386,0.27392056432547085,1.8254997522661935
ENSDARG00000009136,1.5579904548779815,2.6362742400857395,5.440288542960782,8.673186461800029,0.2195820259695296,0.30850274469793754,0.10843573554774283,1.1648062468530416
ENSDARG00000009142,0.5496045601394551,0.7682825157119666,0.8300874358439236,5.424565026604105,-0.1873509350654482,-0.18696499630665636,0.10335961723214132,1.6418596318048126
ENSDARG00000009153,0.0596473597621264,3.9259564919794925,174.0801270680566,76.11879268689572,-0.7968382593996437,-0.37198526953643424,0.6429311713351437,2.882062065223713
ENSDARG00000009160,0.1128503465294768,0.5236152887686506,0.7373780044410707,3.94807457755981,-0.6719256384362593,-0.4805281215575214,0.2119714632839033,1.607248504900011
ENSDARG00000009169,3.165936487726712,4.069420859871442,12.917926011763475,13.725857964254702,0.514007734810318,0.45699199534251805,0.16941692486082746,1.6830366597681587
ENSDARG00000009170,0.6680482387047049,0.916540652590787,0.7582941366217674,3.3677437227232825,-0.1146115024354698,-0.1816534082813437,0.20493192015994308,1.5238839961350632
ENSDARG00000009178,0.7355343037305755,1.0417223805467501,0.8832832255199233,4.302267397205198,-0.0780357149925304,-0.06158357395761273,0.10537609802118873,1.2827819620784693
ENSDARG00000009196,0.0286748872838423,0.7709821247318797,5.260537910455655,11.734773368477864,-0.8905062035093196,-0.6570929776051646,0.3049451944559415,2.073159945766421
ENSDARG00000009208,2.102205509512024,3.0758675847721353,8.11924549945194,8.302790353803772,0.3428578448275791,0.262965094399577,0.2832710772320168,1.8622992900491868
ENSDARG00000009209,1.328238716505238,1.959892184070898,2.3824750596278568,4.707663330828286,0.1548008016953951,0.17648653633748052,0.13925374529328077,1.2142100161069096
ENSDARG00000009212,85.5831832540239,113.51007750436118,9300.325908327137,293.6289354871435,1.932895592790844,1.770908293881303,0.4060229197458011,2.1495894807029847
ENSDARG00000009214,1.002818270714804,1.2714932282002591,1.2205063335183015,5.559279264361206,0.0425039525778146,0.03235002850198893,0.09051463549962237,1.323987571011029
ENSDARG00000009217,0.3325804787827626,0.4073452211229554,0.1138907327724362,1.2364690074718494,-0.3639330830204069,-0.3991111643507357,0.10278341259554469,1.0915966447304237
ENSDARG00000009218,0.6490035364688115,0.7226922017906405,0.3055381161558009,2.8711118048795417,-0.1255161317461084,-0.17239962562959849,0.08426255890731049,1.2963516083519706
ENSDARG00000009242,0.3079320636608258,0.6650627293799444,1.2292630772858353,5.418941259909241,-0.3894121575814265,-0.3466776618725478,0.1654731584694351,1.741855771736392
ENSDARG00000009250,4.552627830785828,5.927770440563964,36.394643069446616,25.27896758279969,0.6676983141923247,0.4738941940723342,0.45056963263115557,2.3207262310763928
ENSDARG00000009252,0.9306503935619264,1.051168321459277,0.61386342431223,2.5070710201775848,0.0131113734353712,-0.06059585454380024,0.12602532439985992,1.2078343859119332
