Gene ID,Majority detection flag
ENSG00000051596,present
ENSG00000051620,present
ENSG00000051825,present
ENSG00000052126,present
ENSG00000052344,present
ENSG00000052723,present
ENSG00000052749,present
ENSG00000052795,present
ENSG00000052802,present
ENSG00000052841,present
ENSG00000052850,present
ENSG00000053108,present
ENSG00000053254,present
ENSG00000053328,present
ENSG00000053371,present
ENSG00000053372,present
ENSG00000053438,present
ENSG00000053501,present
ENSG00000053524,present
ENSG00000053702,present
ENSG00000053747,present
ENSG00000053770,present
ENSG00000053900,present
ENSG00000053918,present
ENSG00000054116,present
ENSG00000054118,present
ENSG00000054148,present
ENSG00000054179,present
ENSG00000054219,present
ENSG00000054267,present
ENSG00000054277,present
ENSG00000054282,present
ENSG00000054356,present
ENSG00000054392,present
ENSG00000054523,present
ENSG00000054598,present
ENSG00000054611,present
ENSG00000054654,present
ENSG00000054690,present
ENSG00000054793,present
ENSG00000054796,absent
ENSG00000054803,present
ENSG00000054938,present
ENSG00000054965,present
ENSG00000054967,present
ENSG00000054983,present
ENSG00000055044,present
ENSG00000055070,present
ENSG00000055118,present
ENSG00000055130,present
ENSG00000055147,present
ENSG00000055163,present
ENSG00000055208,present
ENSG00000055211,present
ENSG00000055332,present
ENSG00000055483,present
ENSG00000055609,present
ENSG00000055732,present
ENSG00000055813,present
ENSG00000055917,present
ENSG00000055950,present
ENSG00000055955,present
ENSG00000055957,present
ENSG00000056050,present
ENSG00000056097,present
ENSG00000056277,present
ENSG00000056291,present
ENSG00000056487,present
ENSG00000056558,present
ENSG00000056586,present
ENSG00000056736,present
ENSG00000056972,present
ENSG00000056998,present
ENSG00000057019,present
ENSG00000057149,absent
ENSG00000057252,present
ENSG00000057294,present
ENSG00000057468,present
ENSG00000057593,present
ENSG00000057608,present
ENSG00000057657,present
ENSG00000057663,present
ENSG00000057704,present
ENSG00000057757,present
ENSG00000057935,present
ENSG00000058056,present
ENSG00000058063,present
ENSG00000058085,present
ENSG00000058091,present
ENSG00000058262,present
ENSG00000058272,present
ENSG00000058335,present
ENSG00000058404,present
ENSG00000058453,present
ENSG00000058600,present
ENSG00000058668,present
ENSG00000058673,present
ENSG00000058729,present
ENSG00000058799,present
ENSG00000058804,present
ENSG00000058866,present
ENSG00000059122,present
ENSG00000059145,present
ENSG00000059377,present
ENSG00000059378,present
ENSG00000059573,present
ENSG00000059588,present
ENSG00000059691,present
ENSG00000059728,present
ENSG00000059758,present
ENSG00000059769,present
ENSG00000059804,present
ENSG00000059915,present
ENSG00000060069,present
ENSG00000060138,present
ENSG00000060140,present
ENSG00000060237,present
ENSG00000060303,absent
ENSG00000060339,present
ENSG00000060491,present
ENSG00000060558,present
ENSG00000060566,absent
ENSG00000060642,present
ENSG00000060656,present
ENSG00000060688,present
ENSG00000060709,present
ENSG00000060718,present
ENSG00000060749,present
ENSG00000060762,present
ENSG00000060971,present
ENSG00000060982,present
ENSG00000061273,present
ENSG00000061337,present
ENSG00000061455,present
ENSG00000061492,absent
ENSG00000061656,present
ENSG00000061676,present
ENSG00000061794,present
ENSG00000061918,present
ENSG00000061936,present
ENSG00000061938,present
ENSG00000061987,present
ENSG00000062038,present
ENSG00000062096,absent
ENSG00000062194,present
ENSG00000062282,present
ENSG00000062370,present
ENSG00000062485,present
ENSG00000062524,present
ENSG00000062582,present
ENSG00000062598,present
ENSG00000062650,present
ENSG00000062716,present
ENSG00000062725,present
ENSG00000062822,present
ENSG00000063015,present
ENSG00000063046,present
ENSG00000063127,present
ENSG00000063169,present
ENSG00000063176,present
ENSG00000063177,present
ENSG00000063180,present
ENSG00000063241,present
ENSG00000063244,present
ENSG00000063245,present
ENSG00000063322,present
ENSG00000063438,present
ENSG00000063515,absent
ENSG00000063587,present
